万	wan4
朮	zhu2
术	shu4
朴	piao2
朴	po4
朴	pu3
杆	gan1
杆	gan3
杈	cha1
杈	cha4
杓	biao1
杓	shao2
杠	gang4
杷	pa2
杻	niu3
板	ban3
枸	gou3
枸	ju3
柏	bai3
柏	bo2
柜	gui4
查	cha2
校	jiao4
校	xiao4
桁	heng2
桄	guang1
桔	jie2
桔	ju2
档	dang4
棹	zhao4
椎	chui2
椎	zhui1
楂	zha1
楞	leng2
楷	jie1
楷	kai3
槛	jian4
槛	kan3
樘	cheng3
樘	tang2
模	mo2
模	mu2
横	heng2
横	heng4
正	zheng1
正	zheng4
歪	wai1
殷	yin1
毂	gu3
比	bi3
氏	shi4
氏	zhi1
氐	di1
氓	mang2
氓	meng2
汗	han2
汗	han4
汞	gong3
汤	tang1
沈	shen3
沉	chen2
沓	ta4
没	mei2
没	mo4
沤	ou1
沤	ou4
泊	bo2
泊	po1
泡	pao1
泡	pao4
泥	ni2
泥	ni4
泷	long2
泷	shuang1
浅	qian3
浆	jiang1
浆	jiang4
济	ji3
济	ji4
浜	bin1
涌	chong1
涌	yong3
涡	guo1
涡	wo1
涨	zhang3
涨	zhang4
淋	lin2
淋	lin4
混	hun4
渐	jian4
渠	qu2
湮	yan1
溇	lou2
溺	ni4
漂	piao1
漂	piao3
漂	piao4
澄	cheng2
澄	deng4
澹	dan4
澹	tan2
濯	zhuo2
瀑	pu4
炅	jiong3
炔	que1
炮	pao4
炸	zha2
炸	zha4
焌	jun4
煞	sha1
煞	sha4
熜	cong1
熨	yu4
熨	yun4
熬	ao1
熬	ao2
燎	liao2
燎	liao3
燕	yan1
燕	yan4
爪	zhao3
爪	zhua3
片	pian4
牟	mou2
牟	mu4
率	lu:4
率	shuai4
王	wang2
玟	wen2
琢	zhuo2
琢	zuo2
瑱	tian4
甚	shen2
甚	shen4
甬	yong3
町	ding1
町	ting3
畜	chu4
畜	xu4
番	fan1
番	pan1
畲	she1
疟	nu:e4
疸	dan3
症	zheng4
的	de5
监	jian1
监	jian4
盖	gai4
盖	ge3
盛	cheng2
盛	sheng4
相	xiang1
相	xiang4
省	sheng3
省	xing3
看	kan1
看	kan4
眯	mi1
着	zhao2
着	zhe5
着	zhuo2
矫	jiao2
矫	jiao3
石	dan4
石	shi2
硐	dong4
碌	lu4
磕	ke1
磨	mo2
磨	mo4
祭	ji4
禁	jin1
禁	jin4
禅	chan2
禺	yu2
离	li2
种	zhong3
种	zhong4
秘	bi4
秘	mi4
秤	cheng4
称	chen4
称	cheng1
稍	shao1
稽	ji1
空	kong1
空	kong4
窨	yin4
竺	zhu2
笼	long2
笼	long3
答	da1
答	da2
簸	bo3
簸	bo4
粘	nian2
粘	zhan1
粥	yu4
粥	zhou1
糊	hu2
糊	hu4
糜	mei2
糜	mi2
系	ji4
系	xi4
累	lei2
累	lei3
累	lei4
絜	jie2
繇	yao2
纤	qian4
纤	xian1
纥	he2
约	yue1
纪	ji3
纪	ji4
结	jie2
给	gei3
给	ji3
络	luo4
绦	tao1
绰	chuo4
绷	beng1
绷	beng3
综	zong1
缀	zhui4
缉	ji1
缊	yun4
缝	feng2
缝	feng4
缪	miao4
缪	miu4
缪	mou2
缪	mu4
缯	zeng1
罢	ba4
翘	qiao2
翘	qiao4
翟	di2
翟	zhai2
耙	pa2
耶	ye1
耶	ye2
肖	xiao1
肖	xiao4
肚	du3
肚	du4
背	bei1
背	bei4
胖	pan2
胖	pang4
脉	mai4
脏	zang1
脏	zang4
脚	jiao3
脯	fu3
脯	pu2
腊	la4
膀	bang3
膀	pang2
膏	gao1
臊	sao1
臊	sao4
臭	chou4
臭	xiu4
舍	she3
舍	she4
般	ban1
般	pan2
艮	gen3
艮	gen4
色	se4
艾	ai4
节	jie2
芍	que4
芥	jie4
芯	xin1
芸	yun2
芾	fei4
芾	fu2
苔	tai1
苔	tai2
苕	shao2
苕	tiao2
茄	jia1
茄	qie2
茆	mao2
茜	qian4
茜	xi1
草	cao3
荑	ti2
荠	ji4
荠	qi2
荡	dang4
荷	he2
荷	he4
莎	sha1
莎	suo1
莘	shen1
莘	xin1
莞	guan1
莞	guan3
莞	wan3
莳	shi2
莳	shi4
菌	jun1
菲	fei1
菸	yan1
落	luo4
葛	ge2
葛	ge3
蒙	meng1
蒙	meng2
蒙	meng3
蓼	liao3
蔓	man2
蔓	man4
蔚	wei4
蔚	yu4
蕃	bo1
蕃	fan1
蕉	jiao1
薄	bao2
薄	bo2
薄	bo4
藉	ji2
藉	jie4
藏	cang2
藏	zang4
虾	ha2
虾	xia1
蚂	ma1
蚂	ma3
蚂	ma4
蚌	bang4
蚌	beng4
蛤	ge2
蛤	ha2
蜇	zhe1
蜇	zhe2
蠡	li2
蠡	li3
行	hang2
行	xing2
衣	yi1
衰	cui1
衰	shuai1
裨	bi4
裨	pi2
褚	chu3
褚	zhu3
褪	tui4
褪	tun4
褶	zhe3
要	yao1
要	yao4
覃	qin2
覃	tan2
见	jian4
观	guan1
观	guan4
觉	jiao4
觉	jue2
角	jiao3
角	jue2
觜	zi1
解	jie3
解	jie4
訾	zi1
訾	zi3
论	lun4
识	shi2
语	yu3
说	shui4
说	shuo1
读	du2
调	diao4
调	tiao2
谜	mi2
谥	shi4
谩	man4
谯	qiao2
豁	huo1
豁	huo4
豊	feng1
豊	li3
貉	mo4
贲	ben1
贾	gu3
贾	jia3
赚	zhuan4
赚	zuan4
趟	tang1
趟	tang4
足	zu2
跂	qi3
跄	qiang1
跄	qiang4
跑	pao2
跑	pao3
踏	ta1
踏	ta4
蹶	jue2
车	che1
车	ju1
轧	ga2
轧	ya4
轧	zha2
转	zhuan3
转	zhuan4
轲	ke1
轴	zhou2
轴	zhou4
载	zai3
载	zai4
辙	zhe2
辟	bi4
辟	pi4
边	bian1
边	bian5
过	guo4
过	guo5
还	hai2
还	huan2
远	yuan3
迤	yi2
迤	yi3
追	zhui1
适	shi4
通	tong1
逮	dai3
逮	dai4
那	na4
都	dou1
都	du1
酊	ding1
酊	ding3
酢	cu4
酢	zuo4
采	cai3
重	chong2
重	zhong4
量	liang2
量	liang4
鉄	tie3
钉	ding1
钉	ding4
钌	liao3
钯	ba3
钻	zuan1
钻	zuan4
钿	dian4
铛	cheng1
铛	dang1
铣	xi3
铣	xian3
铤	ding4
铤	ting3
铫	yao2
铺	pu1
铺	pu4
锔	ju2
锯	ju4
镐	gao3
镐	hao4
镝	di1
镝	di2
镡	tan2
长	chang2
长	zhang3
閤	ge2
间	jian1
闷	men1
闷	men4
阆	lang2
阆	lang4
阇	du1
阏	e4
阏	yan1
阙	que1
阙	que4
阿	a1
陂	bei1
陆	lu4
降	jiang4
降	xiang2
隆	long2
隐	yin3
隗	wei3
隽	juan4
隽	jun4
难	nan2
难	nan4
雀	que4
雨	yu3
露	lou4
露	lu4
靓	liang4
靡	mi2
靡	mi3
页	ye4
顷	qing3
颉	jie2
颉	xie2
颏	ke1
颏	ke2
食	shi2
饮	yin3
饮	yin4
馏	liu2
馕	nang2
驮	tuo2
骑	ji4
骑	qi2
鬲	ge2
鬲	li4
鲜	xian1
鲜	xian3
鸟	niao3
鹄	hu2
龈	yin2
